,Time,Image file,File path,Predicted label
556,2022-07-12 10:30:01,WSCT7068.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT7068.JPG,0
538,2022-07-12 11:00:01,WSCT7069.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT7069.JPG,0
1928,2022-07-12 11:30:01,WSCT7070.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT7070.JPG,0
1911,2022-07-12 12:00:01,WSCT7071.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT7071.JPG,0
2055,2022-07-12 12:30:01,WSCT7072.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT7072.JPG,0
2065,2022-07-12 13:00:01,WSCT7073.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT7073.JPG,0
2346,2022-07-12 13:30:01,WSCT7074.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT7074.JPG,0
2357,2022-07-12 14:00:01,WSCT7075.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT7075.JPG,0
2207,2022-07-12 14:30:01,WSCT7076.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT7076.JPG,0
2204,2022-07-12 15:00:01,WSCT7077.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT7077.JPG,0
80,2022-07-12 15:30:01,WSCT7078.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT7078.JPG,0
81,2022-07-12 16:00:01,WSCT7079.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT7079.JPG,0
401,2022-07-12 16:30:01,WSCT7080.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT7080.JPG,0
378,2022-07-12 17:00:01,WSCT7081.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT7081.JPG,0
536,2022-07-12 17:30:01,WSCT7082.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT7082.JPG,0
558,2022-07-12 18:00:01,WSCT7083.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT7083.JPG,0
223,2022-07-12 18:30:01,WSCT7084.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT7084.JPG,0
252,2022-07-12 19:00:01,WSCT7085.JPG,/Users/autumn_yngoc/Downloads/Marine Fog/Cattle Point Jul-Sep 2022 photos/photos/WSCT7085.JPG,0
